iter	RMSE
0	0.4629636031
1	0.4627414012
2	0.4625781808
3	0.462458174
4	0.4623664849
5	0.4622522196
6	0.4621615939
7	0.4620928812
8	0.4619994987
9	0.4619482383
10	0.4618732227
11	0.4618137857
12	0.4617410249
13	0.4616879594
14	0.4616461566
15	0.461619105
16	0.4615620538
17	0.4615364218
18	0.461513179
19	0.4614636162
20	0.4614392902
21	0.4614054667
22	0.4613843017
23	0.4613479486
24	0.4613234798
25	0.4612849303
26	0.4612656405
27	0.4612426142
28	0.4612319541
29	0.4612065037
30	0.4611818737
31	0.4611689081
32	0.461148359
33	0.4611310283
34	0.4611165012
35	0.4611081469
36	0.4611020915
37	0.4610962744
38	0.4610855085
39	0.4610738935
40	0.4610658763
41	0.4610453476
42	0.4610366343
43	0.4610261679
44	0.4610189697
45	0.461011839
46	0.4609987438
47	0.4609881404
48	0.4609771919
49	0.4609715615
50	0.4609607083
51	0.4609553909
52	0.4609495861
53	0.4609432583
54	0.4609374286
55	0.4609266331
56	0.4609174971
57	0.4609121957
58	0.4609041129
59	0.4608943255
60	0.4608907117
61	0.4608857822
62	0.4608799208
63	0.4608747525
64	0.460868867
65	0.4608627183
66	0.4608570664
67	0.4608507176
68	0.4608471122
69	0.4608429716
70	0.460832796
71	0.4608269755
72	0.4608240912
73	0.4608191618
74	0.4608135141
75	0.4608093178
76	0.4608013384
77	0.4607960365
78	0.4607927717
79	0.4607860233
80	0.4607804704
81	0.4607758982
82	0.460771752
83	0.4607680581
84	0.4607604158
85	0.460754022
86	0.4607469426
87	0.4607416992
88	0.4607384915
89	0.4607349562
90	0.4607324035
91	0.4607289488
92	0.4607254249
93	0.4607205734
94	0.4607162608
95	0.4607119471
96	0.4607068628
97	0.4607047893
98	0.4607019139
99	0.4606989071
100	0.4606941621
101	0.4606893879
102	0.4606849125
103	0.4606802825
104	0.4606767928
105	0.4606721243
106	0.460666889
107	0.4606617541
108	0.4606585604
109	0.4606552662
110	0.4606506965
111	0.4606470452
112	0.4606438128
113	0.4606389925
114	0.4606363268
115	0.4606328773
116	0.4606266357
117	0.4606219166
118	0.4606169491
119	0.4606124472
120	0.4606069287
121	0.4606028978
122	0.4605975496
123	0.4605924685
124	0.4605884625
125	0.4605841083
126	0.4605809239
127	0.4605773443
128	0.4605718985
129	0.4605674773
130	0.4605636679
131	0.4605568138
132	0.4605531548
133	0.4605498792
134	0.4605455702
135	0.4605427896
136	0.4605386417
137	0.4605343745
138	0.4605317673
139	0.4605285621
140	0.4605258545
141	0.4605211222
142	0.460517911
143	0.4605131025
144	0.4605087114
145	0.4605050786
146	0.4605011911
147	0.4604984481
148	0.4604937106
149	0.4604900177
150	0.4604861352
151	0.4604807133
152	0.4604777443
153	0.460470899
154	0.4604683095
155	0.4604641858
156	0.4604609782
157	0.4604575553
158	0.4604540649
159	0.4604486488
160	0.460445911
161	0.4604433535
162	0.4604397238
163	0.4604373693
164	0.4604334713
165	0.4604282669
166	0.460423553
167	0.4604205438
168	0.4604162439
169	0.460413462
170	0.4604116412
171	0.4604090772
172	0.4604061397
173	0.4604016755
174	0.4603984607
175	0.4603935572
176	0.4603901234
177	0.4603864734
178	0.4603830871
179	0.4603812175
180	0.4603769954
181	0.4603730715
182	0.4603694964
183	0.460366486
184	0.4603620628
185	0.4603588453
186	0.4603548917
187	0.4603496266
188	0.4603470132
189	0.4603446866
190	0.46034024
191	0.4603377044
192	0.4603341841
193	0.4603315472
194	0.4603287167
195	0.4603259742
196	0.4603227403
197	0.4603201806
198	0.4603172411
199	0.4603146771
200	0.4603115901
201	0.4603071364
202	0.4603047346
203	0.4603023969
204	0.4603002553
205	0.4602971698
206	0.4602924142
207	0.4602892804
208	0.4602854121
209	0.460283075
210	0.4602801625
211	0.4602764955
212	0.460273463
213	0.4602710727
214	0.4602669747
215	0.4602633687
216	0.4602616772
217	0.4602584775
218	0.4602550097
219	0.4602516205
220	0.460248571
221	0.4602459154
222	0.4602419634
223	0.4602400294
224	0.4602375156
225	0.4602336579
226	0.4602307988
227	0.4602276144
228	0.4602245696
229	0.4602217924
230	0.4602192122
231	0.4602153475
232	0.4602131857
233	0.460210496
234	0.460207092
235	0.4602044483
236	0.4602013604
237	0.4601993842
238	0.4601968214
239	0.4601954373
240	0.4601917435
241	0.4601888938
242	0.4601857725
243	0.4601821453
244	0.4601795974
245	0.4601760271
246	0.460172639
247	0.4601703208
248	0.4601678919
249	0.4601663836
250	0.4601627024
251	0.4601597157
252	0.460156846
253	0.4601541933
254	0.4601516118
255	0.4601489672
256	0.4601452366
257	0.4601424329
258	0.4601385371
259	0.4601363839
260	0.4601338628
261	0.4601317926
262	0.4601277721
263	0.460124566
264	0.4601218479
265	0.4601183127
266	0.4601156224
267	0.4601137836
268	0.4601108345
269	0.4601070575
270	0.4601042482
271	0.4601018057
272	0.4600993002
273	0.4600980074
274	0.4600956903
275	0.460094028
276	0.460091331
277	0.4600890347
278	0.4600859193
279	0.4600833569
280	0.4600813589
281	0.4600780224
282	0.4600752251
283	0.4600720454
284	0.4600701763
285	0.4600683426
286	0.4600642216
287	0.4600618453
288	0.4600588965
289	0.4600549039
290	0.4600530823
291	0.4600510119
292	0.4600476224
293	0.4600444883
294	0.4600425089
295	0.4600414322
296	0.4600392525
297	0.4600355027
298	0.4600318539
299	0.4600296229
300	0.4600273318
301	0.4600245692
302	0.4600229639
303	0.460020747
304	0.460017348
305	0.4600148693
306	0.4600110779
307	0.4600084942
308	0.4600068924
309	0.4600051965
310	0.4600036235
311	0.4600006864
312	0.4599979837
313	0.4599947608
314	0.4599922149
315	0.4599895749
316	0.4599856674
317	0.4599827909
318	0.4599796346
319	0.459977575
320	0.4599742216
321	0.4599712154
322	0.4599680135
323	0.4599660679
324	0.4599634845
325	0.4599610898
326	0.459959603
327	0.4599569805
328	0.4599542621
329	0.4599530357
330	0.4599510826
331	0.4599477729
332	0.4599451897
333	0.459943828
334	0.4599411902
335	0.4599377562
336	0.459934302
337	0.4599316777
338	0.4599292439
339	0.4599256504
340	0.4599230317
341	0.4599198032
342	0.4599170775
343	0.4599145703
344	0.4599101112
345	0.4599080063
346	0.4599057768
347	0.4599039849
348	0.4599021441
349	0.4598989795
350	0.4598966628
351	0.4598935426
352	0.4598919128
353	0.4598898511
354	0.4598879601
355	0.4598843717
356	0.4598819848
357	0.4598798742
358	0.4598767195
359	0.4598739379
360	0.4598717189
361	0.4598692162
362	0.4598671407
363	0.4598651255
364	0.4598631498
365	0.4598605188
366	0.4598573352
367	0.4598550745
368	0.4598517264
369	0.4598490418
370	0.4598469588
371	0.4598439199
372	0.4598402265
373	0.4598372316
374	0.4598342309
375	0.4598331255
376	0.4598301492
377	0.4598275958
378	0.4598247618
379	0.4598229277
380	0.4598206682
381	0.459818765
382	0.4598159513
383	0.459812059
384	0.4598086737
385	0.4598059475
386	0.459804227
387	0.4598006088
388	0.4597980168
389	0.4597957893
390	0.4597929882
391	0.4597894123
392	0.4597867027
393	0.4597842827
394	0.4597825633
395	0.4597800947
396	0.4597786089
397	0.4597762727
398	0.4597744142
399	0.4597722856
400	0.4597681194
401	0.4597636916
402	0.4597604149
403	0.4597582123
404	0.4597558979
405	0.4597537934
406	0.4597516867
407	0.4597488337
408	0.4597460053
409	0.4597430693
410	0.4597406697
411	0.4597384306
412	0.4597356974
413	0.4597342325
414	0.4597324073
415	0.4597283657
416	0.4597270175
417	0.459724553
418	0.4597231007
419	0.4597215766
420	0.4597196096
421	0.4597168504
422	0.4597153914
423	0.4597133733
424	0.4597107677
425	0.4597079598
426	0.4597046495
427	0.459702521
428	0.4596997634
429	0.459697369
430	0.4596949896
431	0.4596919336
432	0.4596893515
433	0.4596867029
434	0.459683917
435	0.4596815522
436	0.4596788715
437	0.459677496
438	0.4596755736
439	0.4596734404
440	0.4596718406
441	0.4596699673
442	0.459667559
443	0.4596654646
444	0.4596631092
445	0.4596593701
446	0.4596570468
447	0.4596531464
448	0.4596505016
449	0.4596489127
450	0.4596459061
451	0.4596437986
452	0.4596423371
453	0.4596409798
454	0.4596385139
455	0.4596365478
456	0.4596327533
457	0.4596298968
458	0.4596272127
459	0.4596242746
460	0.4596218839
461	0.459617808
462	0.4596158768
463	0.459611923
464	0.4596091151
465	0.4596066043
466	0.4596049845
467	0.4596027513
468	0.45959928
469	0.4595965619
470	0.4595931432
471	0.4595908301
472	0.4595890522
473	0.4595869663
474	0.4595842155
475	0.4595815008
476	0.4595789749
477	0.4595778305
478	0.4595757786
479	0.4595727209
480	0.4595684236
481	0.4595657379
482	0.4595627884
483	0.4595607246
484	0.4595593058
485	0.4595581391
486	0.4595555252
487	0.4595536291
488	0.459551294
489	0.459548237
490	0.4595453739
491	0.45954331
492	0.459541671
493	0.4595383192
494	0.4595373318
495	0.4595347358
496	0.459532085
497	0.4595309479
498	0.4595290115
499	0.4595268694
500	0.4595237147
501	0.459522453
502	0.4595207328
503	0.4595193384
504	0.4595158203
505	0.4595142674
506	0.4595114207
507	0.4595086
508	0.4595050832
509	0.4595026424
510	0.4595002241
511	0.4594982884
512	0.459495129
513	0.4594938934
514	0.4594916197
515	0.4594893963
516	0.4594871991
517	0.4594840672
518	0.4594823337
519	0.4594799606
520	0.4594767804
521	0.4594740555
522	0.4594732253
523	0.4594707089
524	0.4594682915
525	0.4594664963
526	0.4594637999
527	0.4594615949
528	0.4594596661
529	0.4594572625
530	0.4594554388
531	0.4594527811
532	0.459451423
533	0.4594486665
534	0.459445739
535	0.4594437819
536	0.4594400587
537	0.4594373291
538	0.4594350731
539	0.4594326411
540	0.4594299724
541	0.4594278808
542	0.4594261472
543	0.4594231364
544	0.4594208277
545	0.4594182442
546	0.4594160661
547	0.4594129895
548	0.4594099563
549	0.4594080259
550	0.4594067257
551	0.4594046159
552	0.4594023052
553	0.4594000114
554	0.4593962306
555	0.4593925422
556	0.4593912598
557	0.4593901472
558	0.4593880864
559	0.4593869556
560	0.4593852067
561	0.4593833387
562	0.4593813585
563	0.4593791841
564	0.4593767717
565	0.4593739022
566	0.4593714224
567	0.4593697328
568	0.4593674528
569	0.4593653908
570	0.459363068
571	0.4593604029
572	0.4593585976
573	0.4593576895
574	0.4593542521
575	0.4593515561
576	0.4593489292
577	0.4593468609
578	0.4593448769
579	0.4593428507
580	0.4593411836
581	0.4593379733
582	0.4593354329
583	0.4593329028
584	0.4593311553
585	0.4593281549
586	0.4593255245
587	0.4593234121
588	0.4593221816
589	0.4593207296
590	0.4593186472
591	0.4593175655
592	0.4593150551
593	0.4593126446
594	0.4593111162
595	0.4593080318
596	0.4593048433
597	0.4593024486
598	0.4592984026
599	0.459295954
600	0.4592939149
601	0.4592915926
602	0.4592905717
603	0.4592893093
604	0.4592883917
605	0.4592871789
606	0.4592859597
607	0.4592834623
608	0.4592812856
609	0.4592786339
610	0.4592767799
611	0.4592734243
612	0.4592712853
613	0.4592693187
614	0.4592672849
615	0.4592657849
616	0.4592642831
617	0.459261722
618	0.4592596266
619	0.4592579158
620	0.4592554596
621	0.4592530993
622	0.4592499616
623	0.4592477192
624	0.4592448172
625	0.4592412363
626	0.4592388143
627	0.4592361242
628	0.4592339694
629	0.4592299749
630	0.4592277365
631	0.459226929
632	0.4592258821
633	0.4592238078
634	0.4592219594
635	0.4592188538
636	0.4592173877
637	0.4592148894
638	0.459213673
639	0.45921236
640	0.459210214
641	0.4592080685
642	0.4592067413
643	0.4592058405
644	0.4592038081
645	0.4592021293
646	0.4592002426
647	0.4591991488
648	0.4591968816
649	0.4591955797
650	0.4591929817
651	0.459191413
652	0.4591893542
653	0.4591867381
654	0.4591841124
655	0.4591815549
656	0.4591802486
657	0.4591777356
658	0.4591758206
659	0.459173914
660	0.4591719705
661	0.4591692315
662	0.4591679805
663	0.4591663112
664	0.459165227
665	0.4591633771
666	0.4591608779
667	0.4591598881
668	0.4591579967
669	0.4591561155
670	0.4591542378
671	0.4591509993
672	0.4591486413
673	0.4591448606
674	0.4591414137
675	0.4591389155
676	0.4591363199
677	0.4591349288
678	0.459132312
679	0.4591292637
680	0.4591272797
681	0.4591251817
682	0.4591231543
683	0.4591212975
684	0.45911807
685	0.4591170353
686	0.4591142827
687	0.4591116753
688	0.4591097829
689	0.4591080475
690	0.4591063894
691	0.4591049668
692	0.459101844
693	0.4590991844
694	0.4590969381
695	0.4590951599
