iter	Passed	Remaining
0	0	0
1	199	199223
2	390	194828
3	583	193868
4	2816	700646
5	3023	601122
6	3213	531767
7	3400	481942
8	3599	445938
9	3813	419447
10	4030	398646
11	4221	379128
12	4422	363724
13	4617	350201
14	4869	342619
15	5083	333451
16	5289	324943
17	5474	316249
18	5662	308628
19	5908	304751
20	6103	298750
21	6293	293085
22	6483	287915
23	6684	283642
24	6915	280951
25	7128	277708
26	7321	273987
27	7525	270931
28	7709	267363
29	7936	265446
30	8138	262877
31	8317	259722
32	8523	257569
33	8733	255654
34	8967	254520
35	9165	252430
36	9347	250039
37	9554	248406
38	9752	246645
39	9984	245771
40	10178	244035
41	10393	242844
42	10610	241762
43	10804	240217
44	11015	239090
45	11217	237802
46	11435	236919
47	11617	235320
48	11823	234244
49	12005	232768
50	12196	231489
51	12375	230034
52	12570	228919
53	12765	227858
54	12992	227367
55	13192	226436
56	13388	225445
57	13574	224337
58	13788	223711
59	13989	222886
60	14172	221798
61	14352	220697
62	14532	219630
63	14728	218816
64	14953	218454
65	15141	217574
66	15324	216634
67	15505	215688
68	15707	215047
69	15958	215096
70	16157	214430
71	16350	213702
72	16538	212937
73	16736	212295
74	16947	211839
75	17157	211376
76	17354	210763
77	17528	209890
78	17714	209168
79	17940	208928
80	18132	208295
81	18329	207734
82	18508	206984
83	18690	206270
84	18924	206144
85	19134	205753
86	19333	205250
87	19523	204659
88	19714	204088
89	19944	203928
90	20122	203232
91	20305	202612
92	20500	202108
93	20691	201575
94	20925	201467
95	21106	200844
96	21106	200844
97	21280	199948
98	21453	199272
99	23706	217709
100	23901	217040
101	24087	216309
102	24278	215621
103	24456	214835
104	24660	214284
105	24869	213777
106	25073	213240
107	25256	212534
108	25438	211830
109	25644	211329
110	25849	210827
111	26045	210255
112	26223	209551
113	26405	208885
114	26578	208156
115	26783	207687
116	26973	207111
117	27171	206596
118	27360	206021
119	27550	205463
120	27805	205386
121	27988	204779
122	28184	204279
123	28391	203858
124	28577	203293
125	28785	202893
126	28785	202893
127	28972	202113
128	29170	201645
129	29357	201109
130	31598	214525
131	31821	214116
132	32013	213508
133	32198	212855
134	32389	212248
135	32600	211782
136	32783	211135
137	32980	210585
138	33161	209939
139	33347	209337
140	33560	208903
141	33733	208226
142	33915	207613
143	34105	207052
144	34301	206531
145	34538	206263
146	34728	205721
147	34908	205117
148	35094	204559
149	35284	204026
150	35284	204026
151	35495	203380
152	35686	202860
153	35910	202536
154	36102	202030
155	36329	201723
156	36522	201233
157	36713	200730
158	36900	200214
159	37102	199783
160	37324	199459
161	37531	199061
162	37734	198638
163	39950	208742
164	40147	208220
165	40147	208220
166	40346	207459
167	40539	206924
168	40746	206464
169	40917	205829
170	41153	205517
171	41338	204961
172	41530	204438
173	43770	213932
174	43956	213316
175	44199	212982
176	44396	212430
177	44571	211780
178	44787	211322
179	44970	210719
180	45215	210404
181	45416	209892
182	45603	209313
183	45797	208776
184	46000	208281
185	46218	207856
186	46434	207424
187	46617	206850
188	46809	206318
189	46988	205731
190	47205	205316
191	47399	204807
192	47583	204253
193	47769	203714
194	47948	203151
195	48187	202842
